text,exp_and_td,labels
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,not related or irrelevant,0
Meanwhile in Pakistan a devastating earthquake has taken over 500 lives...Help out by donating to Baloch CM's Fund http,someone is confirm dead death die or killed injured or hurt,0
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,injured or dead people,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,missing trapped or found people,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,displaced people and evacuations,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,infrastructure and utilities damage,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,donation needs or offers or volunteering services,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,caution and advice,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,sympathy and emotional support,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,other useful information,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,not related or irrelevant,7
diamond suit http 48 diamond suit earthquake diamond suit State of Emergency Declared After California Earthquake http,someone is confirm dead death die or killed injured or hurt,7
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",injured or dead people,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",missing trapped or found people,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",displaced people and evacuations,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",infrastructure and utilities damage,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",donation needs or offers or volunteering services,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",caution and advice,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",sympathy and emotional support,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",other useful information,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",not related or irrelevant,8
"Like in 1971,we will kick Pak A$$ again an help  Balochistan g…",someone is confirm dead death die or killed injured or hurt,8
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,injured or dead people,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,missing trapped or found people,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,displaced people and evacuations,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,infrastructure and utilities damage,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,donation needs or offers or volunteering services,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,caution and advice,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,sympathy and emotional support,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,other useful information,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,not related or irrelevant,7
How did the Napa earthquake affect sleep? Here's a graph pulled from Jawbone UP wearers http,someone is confirm dead death die or killed injured or hurt,7
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",injured or dead people,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",missing trapped or found people,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",displaced people and evacuations,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",infrastructure and utilities damage,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",donation needs or offers or volunteering services,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",caution and advice,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",sympathy and emotional support,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",other useful information,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",not related or irrelevant,3
"The Napa Valley quake wreaked havoc with California wineries, but the impact may not be as bad as it first appeared. http",someone is confirm dead death die or killed injured or hurt,3
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",injured or dead people,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",missing trapped or found people,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",displaced people and evacuations,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",infrastructure and utilities damage,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",donation needs or offers or volunteering services,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",caution and advice,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",sympathy and emotional support,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",other useful information,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",not related or irrelevant,0
"UPDATE: 6.0-magnitude quake in Northern California causes injuries, fires, road closures. http http",someone is confirm dead death die or killed injured or hurt,0
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,injured or dead people,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,missing trapped or found people,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,displaced people and evacuations,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,infrastructure and utilities damage,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,donation needs or offers or volunteering services,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,caution and advice,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,sympathy and emotional support,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,other useful information,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,not related or irrelevant,8
Skaters Make Best of Napa Earthquake by Shredding Buckled Streets http To quote Jurassic Par... http,someone is confirm dead death die or killed injured or hurt,8
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",injured or dead people,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",missing trapped or found people,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",displaced people and evacuations,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",infrastructure and utilities damage,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",donation needs or offers or volunteering services,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",caution and advice,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",sympathy and emotional support,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",other useful information,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",not related or irrelevant,7
"Sismo: Chile Earthquake: No Tsunami Threat To California, Officials Say http",someone is confirm dead death die or killed injured or hurt,7
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),injured or dead people,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),missing trapped or found people,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),displaced people and evacuations,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),infrastructure and utilities damage,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),donation needs or offers or volunteering services,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),caution and advice,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),sympathy and emotional support,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),other useful information,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),not related or irrelevant,5
(♡Alixandro Wilson♡) Renewed Calls for Early-Warning System After Quake: California q... http (♡Alixandro Wilson♡),someone is confirm dead death die or killed injured or hurt,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",injured or dead people,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",missing trapped or found people,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",displaced people and evacuations,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",infrastructure and utilities damage,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",donation needs or offers or volunteering services,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",caution and advice,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",sympathy and emotional support,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",other useful information,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",not related or irrelevant,5
"WARNING - Earthquake - 8.2 - 95km NW of Iquique, Chile - Disater Alert http",someone is confirm dead death die or killed injured or hurt,5
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",injured or dead people,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",missing trapped or found people,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",displaced people and evacuations,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",infrastructure and utilities damage,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",donation needs or offers or volunteering services,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",caution and advice,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",sympathy and emotional support,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",other useful information,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",not related or irrelevant,7
"Earthquake rocks northern California: An earthquake with a magnitude of 6.0 shakes northern California, with a... http",someone is confirm dead death die or killed injured or hurt,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),injured or dead people,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),missing trapped or found people,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),displaced people and evacuations,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),infrastructure and utilities damage,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),donation needs or offers or volunteering services,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),caution and advice,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),sympathy and emotional support,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),other useful information,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),not related or irrelevant,7
California Quake Means Big Damage For Napa Valley Wineries (http://t.co/ks8o8HDOLa),someone is confirm dead death die or killed injured or hurt,7
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",injured or dead people,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",missing trapped or found people,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",displaced people and evacuations,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",infrastructure and utilities damage,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",donation needs or offers or volunteering services,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",caution and advice,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",sympathy and emotional support,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",other useful information,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",not related or irrelevant,0
"California hospital receives 120 patients related to the 6.0 magnitude earthquake, hospital president says. http",someone is confirm dead death die or killed injured or hurt,0
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",injured or dead people,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",missing trapped or found people,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",displaced people and evacuations,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",infrastructure and utilities damage,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",donation needs or offers or volunteering services,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",caution and advice,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",sympathy and emotional support,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",other useful information,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",not related or irrelevant,4
"It's so sad =o( Makes u think what's valuable in life""@AJELive: Quake survivors desperate for food &amp; water http Pakistan",someone is confirm dead death die or killed injured or hurt,4
Stark before and after photos show extent of  damage. http http,injured or dead people,3
Stark before and after photos show extent of  damage. http http,missing trapped or found people,3
Stark before and after photos show extent of  damage. http http,displaced people and evacuations,3
Stark before and after photos show extent of  damage. http http,infrastructure and utilities damage,3
Stark before and after photos show extent of  damage. http http,donation needs or offers or volunteering services,3
Stark before and after photos show extent of  damage. http http,caution and advice,3
Stark before and after photos show extent of  damage. http http,sympathy and emotional support,3
Stark before and after photos show extent of  damage. http http,other useful information,3
Stark before and after photos show extent of  damage. http http,not related or irrelevant,3
Stark before and after photos show extent of  damage. http http,someone is confirm dead death die or killed injured or hurt,3
Earthquake death toll reaches 355,injured or dead people,0
Earthquake death toll reaches 355,missing trapped or found people,0
Earthquake death toll reaches 355,displaced people and evacuations,0
Earthquake death toll reaches 355,infrastructure and utilities damage,0
Earthquake death toll reaches 355,donation needs or offers or volunteering services,0
Earthquake death toll reaches 355,caution and advice,0
Earthquake death toll reaches 355,sympathy and emotional support,0
Earthquake death toll reaches 355,other useful information,0
Earthquake death toll reaches 355,not related or irrelevant,0
Earthquake death toll reaches 355,someone is confirm dead death die or killed injured or hurt,0
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",injured or dead people,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",missing trapped or found people,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",displaced people and evacuations,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",infrastructure and utilities damage,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",donation needs or offers or volunteering services,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",caution and advice,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",sympathy and emotional support,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",other useful information,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",not related or irrelevant,3
"4PM: The state of emergency in force in California's Napa Valley, after an earthquake caused widespread damage  http",someone is confirm dead death die or killed injured or hurt,3
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,injured or dead people,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,missing trapped or found people,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,displaced people and evacuations,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,infrastructure and utilities damage,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,donation needs or offers or volunteering services,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,caution and advice,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,sympathy and emotional support,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,other useful information,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,not related or irrelevant,4
Outstanding work today from my  colleague  on the Napa earthquake. Follow his remarkable twitter feed.,someone is confirm dead death die or killed injured or hurt,4
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,injured or dead people,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,missing trapped or found people,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,displaced people and evacuations,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,infrastructure and utilities damage,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,donation needs or offers or volunteering services,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,caution and advice,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,sympathy and emotional support,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,other useful information,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,not related or irrelevant,7
We just had an  rumble through Frederick M D !  It lasted about 2-3 seconds,someone is confirm dead death die or killed injured or hurt,7
